Accession,Biosample,Kept,type,Nreads,NEWEVAL,X..contigs.....1000.bp.,X..contigs.....5000.bp.,X..contigs.....10000.bp.,X..contigs.....25000.bp.,X..contigs.....50000.bp.,Total.length.....0.bp.,Total.length.....1000.bp.,Total.length.....5000.bp.,Total.length.....10000.bp.,Total.length.....25000.bp.,Total.length.....50000.bp.,X..contigs,Largest.contig,N50.x,N75,L50,L75,X..N.s.per.100.kbp,X..predicted.genes.....0.bp.,X..predicted.genes.....300.bp.,X..predicted.genes.....1500.bp.,X..predicted.genes.....3000.bp.,X..total.reads,X..left,X..right,Mapped....,Properly.paired....,Avg..coverage.depth,Coverage....1x....,species,species_match,contig_count,N50.y,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,K_locus_problems,K_locus_confidence,K_locus_identity,K_locus_missing_genes,O_locus,O_type,O_locus_problems,O_locus_confidence,O_locus_identity,O_locus_missing_genes,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,GC,contigs,Genes,TotalLength,geneshet,Min,Q1,Median,Mean,Q3,Max,NAs,MashMedianrounded,type2
GCF_003111885.2,SAMN08932690,Yes,NCBI,NA,NA,5,5,5,4,4,6095002,6095002,6095002,6095002,6083032,6083032,5,5525009,5525009,5525009,1,1,1.64,5346 + 0 part,4847 + 0 part,756 + 0 part,69 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5525009,5525009,6095002,yes (100),ambiguous_bases,ST11,4,2,7,8,ybt 9; ICEKp3,503-1LV,-,0,"iuc 1,iuc 1","1,1",-,0,-,0,"rmpA2_9,rmpA2_9",wzi209,KL47,none,Very high,99.40%,,OL101,OL101,-,High,94.96%,OL101_09_glycosylhydrolase,aadA16*;aadA2;rmtB,-,-,-,-,-,-,-,sul1,-,-,dfrA27,TEM-1D.v1^,-,CTX-M-14^,-,KPC-2,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,83,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,1","1,1","1,1","1,1","1,1",-,-,-,-,-,-,-,-,56.75,5,5146,6095002,NA,2.38274e-05,0.00631659,0.0118017,0.0102029540913351,0.012872,0.0206126,1,0.0118,BD
GCF_003112125.1,SAMN08932689,Yes,NCBI,NA,NA,6,6,6,5,5,5945388,5945388,5945388,5945388,5933418,5933418,6,5339840,5339840,5339840,1,1,1.68,5209 + 2 part,4746 + 2 part,732 + 0 part,69 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,6,5339840,5339840,5945388,yes (100),ambiguous_bases,ST11,4,2,9,13,ybt 9; ICEKp3,503,-,0,iuc 1,1,-,0,rmp 1; KpVP-1,40,rmpA2_3-47%,wzi64,KL64,-,High,99.90%,KL64_16_wcaJ,O2v1,O2,none,Very high,98.64%,,aadA2;rmtB,-,-,qnrS1,-,-,catII.2*,-,sul2,tet(A).v1,-,dfrA14.v2*,LAP-2;TEM-1D.v1^,-,CTX-M-65;SHV-12;SHV-12,-,KPC-2,-,238S;238S;240K;240K;35Q;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,2,3,2,iroN_1*-0%,56.92,6,5135,5945388,NA,0,0.00611156,0.0112643,0.0097679284605483,0.0124467,0.0196919,1,0.0113,BD
GCF_003203435.1,SAMN07672549,Yes,NCBI,NA,NA,4,4,4,4,4,6107937,6107937,6107937,6107937,6107937,6107937,4,5547427,5547427,5547427,1,1,0,5265 + 1 part,4801 + 1 part,754 + 0 part,76 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,4,5547427,5547427,6107937,no,-,ST11,4,3,7,11,ybt 9; ICEKp3,503,-,0,iuc 1,78-1LV,iro 1,1-1LV,rmp 1; KpVP-1,26-1LV,rmpA2_8*,wzi209,KL47,none,Very high,99.40%,,OL101,OL101,-,High,94.99%,OL101_09_glycosylhydrolase,aac(3)-IId^;aadA2;aadA2^;strA.v1^;strB.v1,-,-,qnrA1^,-,-,-,-,sul1;sul2,-,-,dfrA12,TEM-1D.v1^,-,-,-,KPC-2,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,MgrB-62%,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,34*,1,1,1,1*,1,1,22,2,2,-,56.49,4,5218,6107937,NA,0.00221642,0.00691005,0.0123068,0.0107470818355103,0.0133547,0.0212234,1,0.0123,BD
GCF_003324315.1,SAMN07291547,Yes,NCBI,NA,NA,3,3,3,3,1,5467978,5467978,5467978,5467978,5467978,5383545,3,5383545,5383545,5383545,1,1,0,4808 + 1 part,4396 + 1 part,675 + 0 part,67 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,3,5383545,5383545,5467978,no,-,ST11,0,3,5,9,-,0,-,0,-,0,-,0,-,0,-,wzi27,KL27,none,Very high,100.00%,,O2v2,O2,none,Very high,98.44%,,aac(3)-IId^;aac(6')-Ib'.v1;aadA*,-,-,qnrB19^;qnrB19^,-,-,-,-,-,-,-,-,TEM-1D.v1^;TEM-1D.v1^,-,-,-,KPC-3;KPC-3,SHV-11.v1,35Q,OmpK35-21%,MgrB-0%,GyrA-83I;ParC-80I,-,OXA-9.v1*?-63%,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.34,3,4773,5467978,NA,0.001839,0.00445566,0.0102718,0.00883196637302552,0.0115313,0.0194991,1,0.0103,BD
GCF_003367555.1,SAMN08378650,Yes,NCBI,NA,NA,2,2,2,2,2,5682889,5682889,5682889,5682889,5682889,5682889,2,5518379,5518379,5518379,1,1,0,4997 + 0 part,4545 + 0 part,702 + 0 part,64 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,2,5518379,5518379,5682889,no,-,ST11,1,2,7,13,ybt 9; ICEKp3,503-1LV,-,0,-,0,-,0,-,0,-,wzi209,KL47,none,Very high,99.41%,,OL101,OL101,-,High,94.99%,OL101_09_glycosylhydrolase,aadA2;aadA2;ant(2'')-Ia;rmtB;strA.v1;strB.v1,-,-,-,-,-,catII.2*;cmlA4*,-,sul1*,-,-,-,TEM-1D.v1^,-,CTX-M-65;SHV-12,-,KPC-2,SHV-11.v1,238S;240K;35Q;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.39,2,4958,5682889,NA,9.55247e-05,0.00550978,0.0109136,0.00933187665451853,0.0119383,0.0199514,1,0.0109,BD
GCF_003402995.1,SAMN09809694,Yes,NCBI,NA,NA,7,7,6,5,4,5879323,5879323,5879323,5873727,5861757,5821278,7,5406566,5406566,5406566,1,1,0,5164 + 0 part,4700 + 0 part,723 + 0 part,69 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,7,5406566,5406566,5879323,no,-,ST11,4,2,9,12,ybt 9; ICEKp3,503-1LV,-,0,iuc 1,1,-,0,rmp 1; KpVP-1,40,rmpA2_3-47%,wzi64,KL64,none,Very high,99.91%,,O2v1,O2,none,Very high,98.65%,,aadA2;rmtB,-,-,qnrS1,-,-,catII.2*,-,sul2,tet(A).v1,-,dfrA14.v2*,LAP-2;TEM-1D.v1^,-,CTX-M-65;SHV-12,-,KPC-2,SHV-11.v1^,238S;240K;35Q;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,305,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,2,3,2,iroN_1*-0%,56.94,7,5104,5879323,NA,0.000143503,0.00628226,0.0113974,0.00990526197342041,0.0125875,0.0198862,1,0.0114,BD
GCF_003429545.1,SAMN09279554,Yes,NCBI,NA,NA,7,7,6,5,4,5805104,5805104,5805104,5799508,5789448,5750200,7,5430212,5430212,5430212,1,1,0,5140 + 0 part,4680 + 0 part,706 + 0 part,64 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,7,5430212,5430212,5805104,no,-,ST11,1,2,11,28,ybt 9; ICEKp3 (truncated),503-2LV,-,0,-,0,-,0,-,0,-,wzi209,KL47,none,Very high,99.40%,,OL101,OL101,-,High,94.99%,OL101_09_glycosylhydrolase,aac(3)-IId^;aac(6')-Ib4;aadA*;aadA2^;aph(3')-Ia;rmtB;strA.v1^;strB.v1,-,-,-,-,erm(42)*,catB3.v2;cmlA5,arr-2,sul1;sul1;sul2,tet(G).v1,-,dfrA12;dfrA14.v2*,CMY-2.v2;DHA-1;OXA-10;OXA-10;TEM-1D.v1^;TEM-2,-,CTX-M-14;CTX-M-65,-,KPC-2;OXA-48,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,floR.v2*?;sul1?-63%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65*,9*-17%,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.12,7,5083,5805104,NA,0.000880953,0.00580821,0.0112201,0.0096497387208384,0.0122604,0.0206797,1,0.0112,BD
GCF_003584585.1,SAMD00116246,Yes,NCBI,NA,NA,5,5,5,4,4,5848881,5848881,5848881,5848881,5838821,5838821,5,5478620,5478620,5478620,1,1,0,5174 + 0 part,4698 + 0 part,730 + 0 part,72 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5478620,5478620,5848881,no,-,ST11,1,3,10,16,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi209,KL47,none,Very high,99.39%,,OL101,OL101,-,High,94.99%,OL101_09_glycosylhydrolase,aac(3)-IIa.v1^;aac(3)-IId^;aac(6')-Ib-cr.v2*;aadA2^;strA.v1^;strB.v1,-,fosA3,qnrA1^,-,-,CatB4.v1,-,sul1;sul2,tet(A).v1,-,dfrA12,OXA-1;TEM-1D.v1^,-,-,-,KPC-2,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,MgrB-62%,GyrA-83I;GyrA-87G;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.1,5,5115,5848881,NA,0.00121124,0.00560872,0.0109571,0.00948103521415553,0.0120757,0.0195632,1,11,BD
GCF_003664715.1,SAMN10036131,Yes,NCBI,NA,NA,7,2,2,2,2,5510064,5500179,5490910,5490910,5490910,5490910,14,3078822,3078822,2412088,1,2,13.08,4830 + 4 part,4431 + 4 part,684 + 0 part,62 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,33,3078822,3078822,5510064,yes (720),ambiguous_bases,ST11,0,1,9,10,-,0,-,0,-,0,-,0,-,0,-,wzi31,KL31,?,Good,99.44%,,O3b,O3b,?,Good,99.29%,,aac(6')-Ib-cr.v2;aph3-Ia.v1^,-,-,-,-,mphA,catII.2*;floR.v1*,arr-3,sul1,tet(D),-,dfrA27,-,-,CTX-M-27,-,-,SHV-11.v1,35Q,OmpK35-19%,-,GyrA-83I;ParC-80I,aadA16*?-0%,-,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.29,33,4822,5504677,NA,0.00191916,0.00454897,0.0101041,0.00873296120975091,0.0113974,0.0190552,1,0.0101,BD
GCF_003703775.1,SAMN10233854,Yes,NCBI,NA,NA,1,1,1,1,1,5484551,5484551,5484551,5484551,5484551,5484551,1,5484551,5484551,5484551,1,1,57.09,4794 + 0 part,4392 + 0 part,682 + 0 part,61 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,1,5484551,5484551,5484551,yes (3131),ambiguous_bases,ST11,1,0,2,1,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,-,KL13,-,Good,99.90%,"KL64_03_wzi,KL64_04_wza,KL64_05_wzb",O2v1,O2,none,Very high,98.65%,,aadA2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.35,1,4750,5484551,NA,0.000631368,0.00508714,0.0102718,0.00886749360123026,0.0114419,0.0196919,1,0.0103,BD
GCF_003711065.1,SAMN09688181,Yes,NCBI,NA,NA,4,4,4,3,3,5807923,5807923,5807923,5807923,5797863,5797863,4,5434589,5434589,5434589,1,1,0,5100 + 3 part,4639 + 3 part,724 + 0 part,69 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,4,5434589,5434589,5807923,no,-,ST11,1,3,9,10,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi64,KL64,none,Very high,99.91%,,O2v1,O2,-,Good,98.72%,O1/O2v1_06_wbbO,aadA2^;aph3-Ia.v1^;aph3-Ia.v1^;rmtB,-,-,-,-,mphA,-,-,sul1,-,-,dfrA12,TEM-1D.v1^,-,CTX-M-65,-,KPC-2,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,MgrB-0%,GyrA-83I;GyrA-87G;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.12,4,5037,5807923,NA,0.00028831,0.00524853,0.0105688,0.00906895432282807,0.011621,0.0189925,1,0.0106,BD
GCF_003856475.1,SAMN10473953,Yes,NCBI,NA,NA,5,5,4,4,4,5871807,5871807,5871807,5866211,5866211,5866211,5,5471151,5471151,5471151,1,1,0,5160 + 1 part,4700 + 1 part,725 + 0 part,68 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5471151,5471151,5871807,no,-,ST11,4,2,9,12,ybt 9; ICEKp3,503-1LV,-,0,iuc 1,1,-,0,rmp 1; KpVP-1,40,rmpA2_3-47%,wzi64,KL64,none,Very high,99.90%,,O2v1,O2,none,Very high,98.65%,,aadA2;rmtB,-,-,qnrS1,-,-,catII.2*,-,sul2,tet(A).v1,-,dfrA14.v2*,LAP-2;TEM-1D.v1^,-,SHV-12;SHV-12,-,KPC-2,-,238S;238S;240K;240K;35Q;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,305,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,-,-,-,-,2,3,2,iroN_1*-0%,57,5,5085,5871807,NA,0.000167546,0.00607761,0.0112201,0.00971798272714156,0.0123533,0.0196275,1,0.0112,BD
GCF_003931835.1,SAMN10497376,Yes,NCBI,NA,NA,1,1,1,1,1,5360130,5360130,5360130,5360130,5360130,5360130,1,5360130,5360130,5360130,1,1,0,4732 + 0 part,4323 + 0 part,670 + 0 part,65 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,1,5360130,5360130,5360130,no,-,ST11,0,0,3,2,-,0,-,0,-,0,-,0,-,0,-,wzi93,KL112,none,Very high,98.71%,,O2v2,O2,none,Very high,98.45%,,aadA2,-,-,-,-,-,-,-,sul1,-,-,-,-,-,-,-,-,SHV-11.v1,35Q,OmpK35-17%,-,GyrA-83I;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.48,1,4694,5360130,NA,0.00154832,0.00445566,0.0097316,0.00845290246278858,0.0109571,0.0188675,1,0.0097,BD
GCF_004119955.1,SAMN08378686,Yes,NCBI,NA,NA,4,4,4,4,4,5916981,5916981,5916981,5916981,5916981,5916981,4,5537825,5537825,5537825,1,1,0,5184 + 1 part,4712 + 1 part,726 + 0 part,71 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,4,5537825,5537825,5916981,no,-,ST11,1,2,8,17,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi209,KL47,none,Very high,99.41%,,OL101,OL101,-,High,94.99%,OL101_09_glycosylhydrolase,aac(3)-IId^;aadA2;aadA2;aadA2^;ant(2'')-Ia;strA.v1;strB.v1,-,fosA3,-,-,-,catII.2*;catII.2*;cmlA4*,-,sul1;sul1*,-,-,dfrA12,-,-,CTX-M-65;SHV-12,-,KPC-2,SHV-11.v1,238S;240K;35Q;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.15,4,5135,5916981,NA,0.000167546,0.00544411,0.0111981,0.00958445985009113,0.0123068,0.020747,1,0.0112,BD
GCF_004119975.1,SAMN08378909,Yes,NCBI,NA,NA,4,4,4,4,4,5840818,5840818,5840818,5840818,5840818,5840818,4,5536091,5536091,5536091,1,1,0,5103 + 0 part,4648 + 0 part,718 + 0 part,70 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,4,5536091,5536091,5840818,no,-,ST11,1,2,8,17,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi209,KL47,-,High,99.41%,KL47_07_wcaJ,OL101,OL101,-,High,94.99%,OL101_09_glycosylhydrolase,aadA2;aadA2;aadA2^;ant(2'')-Ia;strA.v1;strB.v1,-,fosA3,-,-,-,catII.2*;catII.2*;cmlA4*,-,sul1;sul1*,-,-,dfrA12,-,-,CTX-M-65;SHV-12;SHV-12,-,KPC-2,SHV-11.v1,238S;238S;240K;240K;35Q;35Q;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,KPC-17*-19%,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.21,4,5035,5840818,NA,7.15897e-05,0.00557568,0.0112643,0.00965626547559994,0.0123533,0.0208145,1,0.0113,BD
GCF_004119995.1,SAMN08379292,Yes,NCBI,NA,NA,3,3,3,3,3,5735314,5735314,5735314,5735314,5735314,5735314,3,5511434,5511434,5511434,1,1,0,5063 + 1 part,4602 + 1 part,704 + 0 part,66 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,3,5511434,5511434,5735314,no,-,ST11,1,2,7,13,ybt 9; ICEKp3 (truncated),503-2LV,-,0,-,0,-,0,-,0,-,wzi209,KL47,none,Very high,99.41%,,OL101,OL101,-,High,94.99%,OL101_09_glycosylhydrolase,aadA2;aadA2;ant(2'')-Ia;rmtB;strA.v1;strB.v1,-,-,-,-,-,catII.2*;cmlA4*,-,sul1*,-,-,-,TEM-1D.v1^,-,CTX-M-65;SHV-12,-,KPC-2,SHV-11.v1,238S;240K;35Q;35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60*-30%,65,9,5,5,219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.34,3,5026,5735314,NA,0.000409992,0.00580821,0.0111321,0.00956189807563791,0.0121679,0.0202137,1,0.0111,BD
GCF_004120095.1,SAMN08380930,Yes,NCBI,NA,NA,4,4,4,4,4,5881983,5881983,5881983,5881983,5881983,5881983,4,5539281,5539281,5539281,1,1,0,5155 + 1 part,4683 + 1 part,725 + 0 part,71 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,4,5539281,5539281,5881983,no,-,ST11,1,2,5,10,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi209,KL47,none,Very high,99.41%,,OL101,OL101,-,High,94.99%,OL101_09_glycosylhydrolase,aadA2;aadA2;ant(2'')-Ia;strA.v1;strB.v1,-,-,-,-,-,catII.2*;catII.2*;cmlA4*,-,sul1*,-,-,-,-,-,-,-,KPC-2,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,KPC-2*-38%,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.16,4,5111,5881983,NA,0.000167546,0.00537869,0.0111321,0.00952646874863305,0.0122141,0.0206797,1,0.0111,BD
GCF_004120115.1,SAMN08380949,Yes,NCBI,NA,NA,2,2,2,2,2,5642913,5642913,5642913,5642913,5642913,5642913,2,5565554,5565554,5565554,1,1,0,4944 + 0 part,4522 + 0 part,703 + 0 part,70 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,2,5565554,5565554,5642913,no,-,ST11,1,1,7,13,ybt 9; ICEKp3,174,-,0,-,0,-,0,-,0,-,wzi50,KL15,none,Very high,99.74%,,O4,O4,none,Very high,99.65%,,aac(3)-IId^;aac(3)-IId^;aac(3)-IId^;aac(3)-IId^;aac(6')-Ib-cr.v2^,-,-,-,-,mphA;mphE.v2,-,-,sul1,tet(D),-,-,TEM-1D.v1^,-,SHV-5;SHV-5;SHV-5,-,-,SHV-11.v1;SHV-11.v1,238S;238S;238S;240K;240K;240K;35Q;35Q,OmpK35-69%,-,GyrA-83I;ParC-80I,aac(3)-IId*-27%;msrE*-7%,armA*?-0%,ST11,3,3,1,1,1,1,4,5,11,6,5,1,34,15,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.2,2,4883,5642913,NA,0.000730741,0.00467416,0.00993767,0.00858704842899453,0.0111321,0.0186813,1,0.0099,BD
GCF_004141975.1,SAMN09692822,Yes,NCBI,NA,NA,5,4,4,4,3,5645963,5645963,5642604,5642604,5642604,5593906,5,5299449,5299449,5299449,1,1,0,4970 + 0 part,4529 + 0 part,695 + 0 part,70 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,5,5299449,5299449,5645963,no,-,ST11,0,2,7,9,-,0,-,0,-,0,-,0,-,0,-,wzi24,KL24,none,Very high,100.00%,,O2v1,O2,none,Very high,98.52%,,aac(3)-IIa.v1^;aac(6')-Ib'.v1;rmtC,-,-,qnrB9.2^,-,mphA,-,-,sul1*,tet(A).v1,-,-,-,-,CTX-M-15,-,NDM-1,SHV-11.v1;SHV-11.v1,35Q;35Q,-,-,GyrA-83F;GyrA-87A;ParC-80I,-,-,ST11,3,3,1,1,1,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.21,5,4918,5645963,NA,0.00115999,0.00537869,0.0108269,0.00928238891859052,0.0118017,0.0189925,1,0.0108,BD
GCF_004322795.1,SAMN09688180,Yes,NCBI,NA,NA,6,6,5,4,4,5667576,5667576,5667576,5661980,5649234,5649234,6,5451414,5451414,5451414,1,1,0,4976 + 1 part,4541 + 1 part,700 + 0 part,67 + 0 part,NA,NA,NA,NA,NA,NA,NA,Klebsiella pneumoniae,strong,6,5451414,5451414,5667576,no,-,ST11,1,2,10,12,ybt 9; ICEKp3,503,-,0,-,0,-,0,-,0,-,wzi64,KL64,none,Very high,99.91%,,O2v1,O2,-,High,98.61%,O1/O2v1_06_wbbO,aac(6')-Ib-cr.v2;aadA16*;aadA2,-,-,-,-,-,catII.2*,arr-3,sul1,tet(A).v1*,-,dfrA27,TEM-1D.v1^,-,CTX-M-65,-,KPC-12;KPC-12,SHV-11.v1,35Q,OmpK35-17%;OmpK36GD,-,GyrA-83I;GyrA-87G;ParC-80I,-,sul1*?-67%,ST11,3,3,1,1,1,1,4,140,11,6,5,1,60,65,9,5,5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.26,6,4900,5667576,NA,2.38274e-05,0.00531349,0.0106545,0.0091107597197904,0.0117112,0.0194352,1,0.0107,BD
